ts,newlight
2021-12-14 13:00:00,374
2021-12-14 14:00:00,332
2021-12-14 15:00:00,370
2021-12-14 16:00:00,374
2021-12-14 17:00:00,486
2021-12-14 18:00:00,349
2021-12-14 19:00:00,388
2021-12-14 20:00:00,630
2021-12-14 21:00:00,685
2021-12-14 22:00:00,386
2021-12-14 23:00:00,426
2021-12-15 00:00:00,376
2021-12-15 01:00:00,23
2021-12-15 02:00:00,16
2021-12-15 03:00:00,19
2021-12-15 04:00:00,10
2021-12-15 05:00:00,12
2021-12-15 06:00:00,25
2021-12-15 07:00:00,201
2021-12-15 08:00:00,297
2021-12-15 09:00:00,391
2021-12-15 10:00:00,385
2021-12-15 11:00:00,295
2021-12-15 12:00:00,611
2021-12-15 13:00:00,360
2021-12-15 14:00:00,569
2021-12-15 15:00:00,799
2021-12-15 16:00:00,568
2021-12-15 17:00:00,451
2021-12-15 18:00:00,363
2021-12-15 19:00:00,282
2021-12-15 20:00:00,388
2021-12-15 21:00:00,178
2021-12-15 22:00:00,245
2021-12-15 23:00:00,335
2021-12-16 00:00:00,231
2021-12-16 01:00:00,14
2021-12-16 02:00:00,17
2021-12-16 03:00:00,18
2021-12-16 04:00:00,14
2021-12-16 05:00:00,18
2021-12-16 06:00:00,81
2021-12-16 07:00:00,104
2021-12-16 08:00:00,120
2021-12-16 09:00:00,477
2021-12-16 10:00:00,481
2021-12-16 11:00:00,321
2021-12-16 12:00:00,251
2021-12-16 13:00:00,317
2021-12-16 14:00:00,570
2021-12-16 15:00:00,308
2021-12-16 16:00:00,373
2021-12-16 17:00:00,478
2021-12-16 18:00:00,656
2021-12-16 19:00:00,681
2021-12-16 20:00:00,746
2021-12-16 21:00:00,488
2021-12-16 22:00:00,353
2021-12-16 23:00:00,253
2021-12-17 00:00:00,217
2021-12-17 01:00:00,10
2021-12-17 02:00:00,12
2021-12-17 03:00:00,22
2021-12-17 04:00:00,12
2021-12-17 05:00:00,25
2021-12-17 06:00:00,29
2021-12-17 07:00:00,27
2021-12-17 08:00:00,84
2021-12-17 09:00:00,231
2021-12-17 10:00:00,173
2021-12-17 11:00:00,317
2021-12-17 12:00:00,267
2021-12-17 13:00:00,192
2021-12-17 14:00:00,180
2021-12-17 15:00:00,410
2021-12-17 16:00:00,370
2021-12-17 17:00:00,324
2021-12-17 18:00:00,335
2021-12-17 19:00:00,115
2021-12-17 20:00:00,113
2021-12-17 21:00:00,144
2021-12-17 22:00:00,270
2021-12-17 23:00:00,115
2021-12-18 00:00:00,12
2021-12-18 01:00:00,25
2021-12-18 02:00:00,18
2021-12-18 03:00:00,15
2021-12-18 04:00:00,17
2021-12-18 05:00:00,19
2021-12-18 06:00:00,15
2021-12-18 07:00:00,17
2021-12-18 08:00:00,123
2021-12-18 09:00:00,126
2021-12-18 10:00:00,73
2021-12-18 11:00:00,557
2021-12-18 12:00:00,577
2021-12-18 13:00:00,724
2021-12-18 14:00:00,192
2021-12-18 15:00:00,134
2021-12-18 16:00:00,102
2021-12-18 17:00:00,128
2021-12-18 18:00:00,129
2021-12-18 19:00:00,281
2021-12-18 20:00:00,228
2021-12-18 21:00:00,239
2021-12-18 22:00:00,172
2021-12-18 23:00:00,168
2021-12-19 00:00:00,155
2021-12-19 01:00:00,179
2021-12-19 02:00:00,165
2021-12-19 03:00:00,172
2021-12-19 04:00:00,179
2021-12-19 05:00:00,166
2021-12-19 06:00:00,166
